id,category,check,description,why_it_matters,severity,tags,last_verified
SEC091,Access Management,"Least-privilege IAM roles per service, no shared/broad admin credentials","Each service/CI pipeline/developer has a scoped credential with only the permissions it needs, not a shared account with broad or admin-level access used for convenience","A single overprivileged shared credential means any compromise of it (leaked key, compromised laptop) has the full blast radius of an admin account, regardless of what actually needed to be exposed","Critical","iam|least-privilege|infra",2026-07-03
SEC092,Access Management,"MFA required for all cloud platform / hosting dashboard accounts","Vercel, Supabase, Cloudflare, GitHub, and any other platform with production access require MFA for every human account with access, not just the primary owner","Platform-level dashboard access is often the highest-leverage compromise target — it can touch deploy pipelines, secrets, and infrastructure directly, more than most application-level vulnerabilities","Critical","mfa|platform-access|infra",2026-07-03
SEC093,Access Management,"Offboarding process revokes access immediately, across every platform","When someone leaves the team or a contractor's engagement ends, their access is revoked the same day across every platform (hosting, database, CI, third-party services) — not left active 'until someone gets to it'","Stale access from a departed team member is a common, entirely preventable exposure that persists silently until specifically audited for","High","offboarding|access-revocation|infra",2026-07-03
SEC094,Access Management,"Production database access requires a distinct, more restricted credential than staging/dev","Direct production database access (beyond what the application itself uses) is scoped to fewer people and a separate credential from staging/dev access","Conflating production and non-production database access means a leaked dev credential or a routine dev-environment mistake can reach real customer data","High","database-access|production|infra",2026-07-03
SEC095,Network,"Database not directly reachable from the public internet without restriction","Database connections are restricted to the application's own network/VPC, a connection pooler, or an explicit IP allowlist — not open to 0.0.0.0/0 on the database port","An internet-exposed database is a prime target for automated scanning and brute-force attacks — this should never be the default configuration regardless of how strong the credential is","Critical","network-security|database|infra",2026-07-03
SEC096,Network,"Internal/admin services not exposed to the public internet unless explicitly required","Internal tools, admin dashboards, and debugging endpoints are reachable only via VPN, an allowlisted network, or a platform's private-access feature — not on the same public surface as the customer-facing app","Internal tooling is frequently held to a lower security bar than the customer-facing product on the (false) assumption that 'nobody will find it' — public reachability removes that assumption entirely","High","network-security|internal-tools|infra",2026-07-03
SEC097,TLS/Certificates,"TLS certificates auto-renewed, monitored for expiry","Certificate renewal is automated (as most modern platforms do by default) and monitored, so an expired certificate doesn't silently take down the site or degrade to an insecure connection","A certificate that expires unnoticed causes a hard outage or a browser security warning that erodes user trust — this is entirely preventable with automation and monitoring","Medium","tls|certificate-management|infra",2026-07-03
SEC098,Container/Runtime,"Container images built from minimal, current base images","If using containers, base images are minimal (slim/distroless where practical) and kept current, not an old, bloated base image accumulating unpatched OS-level vulnerabilities","A large base image both increases attack surface (more installed packages that could have vulnerabilities) and is more likely to be stale, since it's updated less frequently than application code","Medium","containers|base-images|infra",2026-07-03
SEC099,Container/Runtime,"Containers run as a non-root user","Application containers are configured to run as a non-privileged user, not root, inside the container","Running as root inside a container means a container-escape vulnerability grants root on the host — running as non-root is a straightforward defense-in-depth layer against that specific escalation path","Medium","containers|least-privilege|infra",2026-07-03
SEC100,Serverless/Edge,"Serverless function permissions scoped per-function, not shared across all functions","Each serverless function's execution role has only the permissions that specific function needs (e.g. a function that only reads from one table doesn't also have write access to every table)","Serverless architectures often default to a single shared execution role for convenience — this means a vulnerability in any one function has the combined permissions of every function, not just its own","High","serverless|least-privilege|infra",2026-07-03
SEC101,Backups,"Automated backups exist and are periodically tested by actually restoring from one","Database backups run automatically on a schedule, and a restore is periodically tested end-to-end (not just assumed to work because the backup job reports success)","A backup that has never been tested for restoration is not a verified backup — 'the job succeeded' and 'the data is actually recoverable' are different claims, and the gap between them is only discovered during a real incident if untested","Critical","backups|disaster-recovery|infra",2026-07-03
SEC102,Backups,"Backup retention and access are themselves access-controlled","Backups are stored with their own access controls, not more loosely protected than the live database they're a copy of","A backup containing a full copy of production data is exactly as sensitive as production data itself — treating it as a lower-scrutiny artifact is a common gap","Medium","backups|access-control|infra",2026-07-03
SEC103,Monitoring,"Infrastructure-level anomaly detection exists beyond application logs","Unusual patterns at the infrastructure level (a spike in outbound data transfer, unexpected new IAM role creation, abnormal API call volume to a cloud provider) are monitored, not just application-level logs","An attacker who compromises infrastructure directly (rather than through an application vulnerability) won't necessarily show up in application logs — infra-level monitoring catches a different class of incident","Medium","infra-monitoring|anomaly-detection",2026-07-03
SEC104,DNS/Domain,"Domain registrar account secured with MFA and registrar lock enabled","The domain registrar account itself (Vercel/Cloudflare/a dedicated registrar) has MFA enabled and, where offered, a transfer/registrar lock to prevent unauthorized domain transfer","Domain hijacking is a severe, high-impact attack — losing control of the domain can redirect all traffic, intercept email, and undermine every other security control on the actual application","Critical","dns|domain-security|infra",2026-07-03
SEC105,DNS/Domain,"DNS records audited periodically for unauthorized/stale entries","DNS zone records are periodically reviewed for entries that shouldn't be there (a forgotten subdomain pointing to a decommissioned service, an unrecognized MX/TXT record)","A stale DNS record pointing to a decommissioned service is a classic subdomain-takeover vector — an attacker can claim the now-unclaimed resource the record still points to","Medium","dns|subdomain-takeover|infra",2026-07-03
SEC106,Secrets in Infra,"Cloud provider credentials used by CI/CD are scoped and rotatable independently of human user credentials","CI/CD pipeline access to cloud infrastructure uses its own service-account-style credential, distinct from any individual developer's personal login, and rotatable without affecting that person's access","Tying pipeline access to a personal credential means offboarding that person breaks the pipeline, and a pipeline compromise directly implicates a specific person's credential rather than being cleanly scoped and revocable on its own","High","ci-cd|service-accounts|infra",2026-07-03
SEC107,Multi-Environment,"Production and non-production infrastructure are meaningfully separated, not just logically namespaced","Staging/dev environments run on separate infrastructure (separate database instances, separate cloud project/account where practical) from production, not just a different table prefix or environment variable within shared infrastructure","Shared infrastructure with only logical separation means a bug or compromise in the lower-scrutiny non-production environment has a direct path to production resources","High","environment-separation|infra",2026-07-03
